Server start at port: 8888
Receive: Efrom client. 丢包率: 0.99975
Receive: Hello Server!from client. 丢包率: 0.912
Receive: Hello Server!from client. 丢包率: 0.91175
Receive: Hello Server!from client. 丢包率: 0.9115
Receive: Hello Server!from client. 丢包率: 0.91125
Receive: Hello Server!from client. 丢包率: 0.911
Receive: Hello Server!from client. 丢包率: 0.91075
Receive: Hello Server!from client. 丢包率: 0.9105
Receive: Hello Server!from client. 丢包率: 0.91025
Receive: Hello Server!from client. 丢包率: 0.91
Receive: Hello Server!from client. 丢包率: 0.90975
Receive: Hello Server!from client. 丢包率: 0.9095
Receive: Hello Server!from client. 丢包率: 0.90925
Receive: Hello Server!from client. 丢包率: 0.909
Receive: Hello Server!from client. 丢包率: 0.90875
Receive: Hello Server!from client. 丢包率: 0.9085
Receive: Efrom client. 丢包率: 0.90825
Receive: Hello Server!from client. 丢包率: 0.908
Receive: Hello Server!from client. 丢包率: 0.90775
Receive: Hello Server!from client. 丢包率: 0.9075
Receive: Hello Server!from client. 丢包率: 0.90725
Receive: Hello Server!from client. 丢包率: 0.907
Receive: Hello Server!from client. 丢包率: 0.90675
Receive: Hello Server!from client. 丢包率: 0.9065
Receive: Hello Server!from client. 丢包率: 0.90625
Receive: Hello Server!from client. 丢包率: 0.906
Receive: Hello Server!from client. 丢包率: 0.90575
Receive: Hello Server!from client. 丢包率: 0.9055
Receive: Hello Server!from client. 丢包率: 0.90525
Receive: Hello Server!from client. 丢包率: 0.905
Receive: Hello Server!from client. 丢包率: 0.90475
Receive: Hello Server!from client. 丢包率: 0.9045
Receive: Hello Server!from client. 丢包率: 0.90425
Receive: Hello Server!from client. 丢包率: 0.904
Receive: Hello Server!from client. 丢包率: 0.90375
Receive: Hello Server!from client. 丢包率: 0.9035
Receive: Hello Server!from client. 丢包率: 0.90325
Receive: Hello Server!from client. 丢包率: 0.903
Receive: Hello Server!from client. 丢包率: 0.90275
Receive: Hello Server!from client. 丢包率: 0.9025
Receive: Hello Server!from client. 丢包率: 0.90225
Receive: Hello Server!from client. 丢包率: 0.902
Receive: Hello Server!from client. 丢包率: 0.90175
Receive: Hello Server!from client. 丢包率: 0.9015
Receive: Hello Server!from client. 丢包率: 0.90125
Receive: Hello Server!from client. 丢包率: 0.901
Receive: Hello Server!from client. 丢包率: 0.90075
Receive: Hello Server!from client. 丢包率: 0.9005
Receive: Hello Server!from client. 丢包率: 0.90025
Receive: Hello Server!from client. 丢包率: 0.9
Receive: Hello Server!from client. 丢包率: 0.89975
Receive: Hello Server!from client. 丢包率: 0.8995
Receive: Hello Server!from client. 丢包率: 0.89925
Receive: Hello Server!from client. 丢包率: 0.899
Receive: Hello Server!from client. 丢包率: 0.89875
Receive: Hello Server!from client. 丢包率: 0.8985
Receive: Hello Server!from client. 丢包率: 0.89825
Receive: Hello Server!from client. 丢包率: 0.898
Receive: Hello Server!from client. 丢包率: 0.89775
Receive: Hello Server!from client. 丢包率: 0.8975
Receive: Hello Server!from client. 丢包率: 0.89725
Receive: Hello Server!from client. 丢包率: 0.897
Receive: Hello Server!from client. 丢包率: 0.89675
Receive: Hello Server!from client. 丢包率: 0.8965
